iter	RMSE
0	0.5456561345
1	0.5391155443
2	0.5327924253
3	0.5266028088
4	0.5215667211
5	0.5152049874
6	0.509369388
7	0.5038265234
8	0.4979055207
9	0.4931426061
10	0.4865301278
11	0.479241282
12	0.4709315261
13	0.4627290911
14	0.4592614463
15	0.4538353617
16	0.4486411217
17	0.442050995
18	0.4367350597
19	0.4335362046
20	0.4297628831
21	0.4261058463
22	0.4201706193
23	0.4159397686
24	0.4133769762
25	0.4073987742
26	0.403410793
27	0.4000538984
28	0.3940779555
29	0.3879871984
30	0.3810520164
31	0.3759671918
32	0.3725008065
33	0.3680806245
34	0.3633171898
35	0.3595017317
36	0.3538151846
37	0.3501962433
38	0.3465804108
39	0.3434753077
40	0.3407929157
41	0.337342579
42	0.3357671793
43	0.330950785
44	0.3285560801
45	0.3266543449
46	0.3238337009
47	0.3195934854
48	0.3150368603
49	0.312279308
50	0.3074976667
51	0.3024624098
52	0.2997503904
53	0.2959100434
54	0.2921561666
55	0.2888099161
56	0.2853621254
57	0.2838371013
58	0.2814715026
59	0.2795452328
60	0.2767930535
61	0.2747696597
62	0.2719744766
63	0.2689499731
64	0.2645394969
65	0.2620184382
66	0.2579082414
67	0.2568769835
68	0.25374375
69	0.2497331145
70	0.2468461133
71	0.2422588952
72	0.2393377819
73	0.2370939796
74	0.2353327149
75	0.2343920503
76	0.2323872668
77	0.2285773771
78	0.2256207676
79	0.2236460229
80	0.2221256803
81	0.2192649999
82	0.2172783868
83	0.2138507036
84	0.2121737262
85	0.2092018315
86	0.207221706
87	0.2057218441
88	0.204762961
89	0.202813496
90	0.200443045
91	0.1988133366
92	0.1970594878
93	0.1954885625
94	0.1936006052
95	0.1909336144
96	0.1888005347
97	0.1874380322
98	0.1847454355
99	0.1819375697
100	0.1791754953
101	0.1779527475
102	0.1768580698
103	0.1762793141
104	0.1750307537
105	0.1735737255
106	0.1711859442
107	0.1700574757
108	0.1681145914
109	0.1656656369
110	0.1633188076
111	0.1614420825
112	0.1599344626
113	0.1588872838
114	0.1562995441
115	0.1549136255
116	0.1539310742
117	0.151469677
118	0.150523203
119	0.1489921363
120	0.1469651872
121	0.1444850305
122	0.1423069026
123	0.1409502356
124	0.1399659483
125	0.1387798016
126	0.1368544571
127	0.1349793346
128	0.1336483916
129	0.1331268258
130	0.1321847773
131	0.1311723654
132	0.1298964141
133	0.1283748432
134	0.1267105305
135	0.1259445738
136	0.1242216612
137	0.1231361368
138	0.1215464505
139	0.1208157453
140	0.1196052108
141	0.1186268695
142	0.117335683
143	0.1160552193
144	0.1152255265
145	0.1142935295
146	0.1125726951
147	0.1111965986
148	0.1101626344
149	0.1094812229
150	0.1086810566
151	0.1074146034
152	0.107189903
153	0.1060104365
154	0.1048399767
155	0.1035360534
156	0.1026536772
157	0.1017427157
158	0.1006792473
159	0.09932902858
160	0.09817528809
161	0.09678063988
162	0.09610425306
163	0.09515838178
164	0.09414931688
165	0.09316392785
166	0.0920687753
167	0.09096977819
168	0.09026838692
169	0.08931731197
170	0.08840369433
171	0.0876523233
172	0.08680521404
173	0.08610114925
174	0.0850508986
175	0.08402085053
176	0.08312744666
177	0.08222417391
178	0.08139986639
179	0.08052904573
180	0.07968754174
181	0.07870802463
182	0.07783267631
183	0.07698668568
184	0.07639751988
185	0.07561577079
186	0.07481714992
187	0.07426670676
188	0.07353586097
189	0.07316480111
190	0.07252880562
191	0.07161878015
192	0.07097620451
193	0.07011720678
194	0.06938314831
195	0.06878271557
196	0.06797429918
197	0.0673198528
198	0.06669636221
199	0.06596930919
200	0.0653193478
201	0.06498703005
202	0.06440363544
203	0.06386920733
204	0.06327844347
205	0.06262627629
206	0.06217284142
207	0.06159229962
208	0.0609475054
209	0.06043314555
210	0.05986269087
211	0.05930978652
212	0.05884404897
213	0.05830452787
214	0.057848366
215	0.05741164212
216	0.05698131736
217	0.05641952259
218	0.05594698437
219	0.05542272795
220	0.05492720025
221	0.05454321453
222	0.05412575803
223	0.05365448647
224	0.05335009245
225	0.0528667315
226	0.05254686389
227	0.05220081875
228	0.05193433068
229	0.0516747482
230	0.05125330304
231	0.0509460704
232	0.05065373968
